X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-10646485.5681,3742982.3565,1,TX3187009562420110904,Initial,50260382011231,70260382011300,-970,70,304,570,31.845,-95.639,Wildfire,495,-150,2011/09/04 00:00:00+00,1606
-10570788.294,3726220.2727,2,TX3175209496120110904,Extended,50250382010301,50250382011300,-970,110,350,620,31.717,-94.959,Wildfire,502,-150,2011/09/04 00:00:00+00,8344
-10650270.4304,3712095.253,3,TX3161209566220110905,Initial,50260382011231,50260382011300,-970,120,366,650,31.609,-95.673,Wildfire,507,-150,2011/09/05 00:00:00+00,1121
-10591716.3634,3717324.8289,4,TX3165109516420110911,Extended,50250382010301,50250382011300,-970,38,320,620,31.649,-95.147,Wildfire,547,-150,2011/09/11 00:00:00+00,2146
-13543464.6603,4541072.983,5,CA3772812166319980829,Initial,50440341997206,50440341998200,-970,50,275,530,37.728,-121.663,Wildfire,580,-150,1998/08/29 00:00:00+00,1108
-10471936.567,3872629.2842,6,TX3282709409820110913,Initial,70250372011248,70250372011300,-970,50,313,600,32.829,-94.071,Wildfire,592,-150,2011/09/13 00:00:00+00,2278
-10939367.222,3727005.461,7,TX3172309827020090409,Initial,50270382009088,50270382009100,-970,70,375,435,31.723,-98.27,Wildfire,617,-150,2009/04/09 00:00:00+00,1223
-13416115.2771,5704237.2863,8,OR4552312051920070803,Initial,50450282006238,50450282007200,-970,115,245,430,45.523,-120.519,Wildfire,621,-150,2007/08/03 00:00:00+00,12591
-12373162.5997,3947852.4321,9,AZ3340011115020110828,Extended,50360372011157,70360372012200,-970,-10,161,360,33.395,-111.15,Wildfire,650,-150,2011/08/28 00:00:00+00,2976
-10948718.0385,3094516.7555,10,TX2676809835420101201,Initial (SS),NULL,50270412010300,-9999,10,-9999,-9999,26.768,-98.354,Wildfire,755,-9999,2010/12/01 00:00:00+00,1980
-9171279.2635,3605118.5793,11,GA3078708238720090310,Initial,70170392008104,50170392009100,-970,200,422,700,30.787,-82.387,Prescribed Fire,830,-200,2009/03/10 00:00:00+00,1526
-12741852.9445,5292813.9094,12,ID4285711443720150814,Initial,80400302015212,80400302015200,-970,50,9999,9999,42.874,-114.462,Wildfire,900,-150,2015/08/14 00:00:00+00,2395
-11050686.7494,3909515.8087,13,TX3310709927020090330,Initial,50280372006103,50280372009100,-970,60,246,470,33.107,-99.27,Wildfire,923,-150,2009/03/30 00:00:00+00,1807
-11834598.957,5786121.2671,14,MT4599610625820170824,Initial,80360282016283,80360282017300,-970,50,350,9999,46.036,-106.312,Wildfire,1026,-150,2017/08/24 00:00:00+00,8387
-11168240.308,5709005.4438,15,SD4555310032620060706,Initial,50320282006179,50320282006200,-970,70,266,500,45.553,-100.326,Wildfire,1804,-150,2006/07/06 00:00:00+00,2778
-12603927.9448,3867066.4451,16,AZ3278711322320050513,Initial,50370372004257,50370372005300,-970,0,9999,9999,32.787,-113.223,Wildfire,2000,-150,2005/05/13 00:00:00+00,2269
-13318265.3941,5455080.5094,17,OR4393311964019990606,Extended,50440291998193,50440292000200,-970,25,169,350,43.933,-119.64,Wildfire,2063,-150,1999/06/06 00:00:00+00,2793
-11005713.6318,3092771.333,18,TX2675409886620050505,Extended,50270412003216,70270412005200,-970,120,325,575,26.754,-98.866,Wildfire,2686,-150,2005/05/05 00:00:00+00,2979
-13245351.1108,5423292.4311,19,OR4372711898520100916,Initial,50430302010267,70430302010300,-970,75,300,9999,43.727,-118.985,Prescribed Fire,4500,-150,2010/09/16 00:00:00+00,2047
-16669762.7188,9641374.741,20,AK6512514974719900703,Extended,50700141986166,50700141991200,-970,30,321,630,65.125,-149.747,Wildfire,31035,-150,1990/07/03 00:00:00+00,5986
-16675662.7022,9762293.266,21,AK6557814980019900703,Extended,50700141986166,50700141991200,-970,30,321,630,65.578,-149.8,Wildfire,31037,-150,1990/07/03 00:00:00+00,2988
-16993257.3462,10093944.8522,22,AK6678115265319900705,Extended,50730131986235,50750131991200,-970,70,261,490,66.781,-152.653,Wildfire,31039,-150,1990/07/05 00:00:00+00,2002
-16630355.6749,9774149.9938,23,AK6562214939319900707,Extended,50700141986166,50700141991200,-970,30,321,630,65.622,-149.393,Wildfire,31042,-150,1990/07/07 00:00:00+00,1740
-16408718.6926,10059863.3511,24,AK6666014740219900627,Extended,50700131986198,50700131991200,-970,130,480,9999,66.66,-147.402,Wildfire,32018,-150,1990/06/27 00:00:00+00,333571
